ExpansionSet,Name,Type,Age,Description,Icon,3 players,4 players,5 players,6 players,7 players,Cost,Chains to (1),Chains to (2),Effect Category,Military shields granted,Resource effects,Science symbol,"Coins/Points affects (P = player, N = neighbours, B = both player & neighbours)",Coins/Points structure category applies to,Coins/Points: coins given when structure is built multiplier,Coins/points: Victory Points given,Wonder Stage,StructureDiscount
Original,Pawnshop,Civilian,1,Civilian structures are worth the number of victory points pictured on the card,3VP,0,1,1,1,2,,,,CoinsPoints,,,,None,Constant,0,3,,
Original,Baths,Civilian,1,Civilian structures are worth the number of victory points pictured on the card,3VP,1,1,1,1,2,S,Aqueduct,,CoinsPoints,,,,None,Constant,0,3,,
Original,Altar,Civilian,1,Civilian structures are worth the number of victory points pictured on the card,2VP,1,1,2,2,2,,Temple,,CoinsPoints,,,,None,Constant,0,2,,
Original,Theatre,Civilian,1,Civilian structures are worth the number of victory points pictured on the card,2VP,1,1,1,2,2,,Statue,,CoinsPoints,,,,None,Constant,0,2,,
Original,Tavern,Commerce,1,Player takes 5 coins from the bank when the card is played,tavern,0,1,2,2,3,,,,CoinsPoints,,,,None,Constant,5,0,,
Original,East Trading Post,Commerce,1,Purchase Raw Materials from player on left for 1 coin instead of 2,east_trading_post,1,1,1,1,2,,Forum,,Commerce,,,,,,,,,
Original,West Trading Post,Commerce,1,Purchase Raw Materials from player on right for 1 coin instead of 2,west_trading_post,1,1,1,1,2,,Forum,,Commerce,,,,,,,,,
Original,Marketplace,Commerce,1,Purcahase Manufactured Goods from either neighbor for 1 coin,marketplace,1,1,1,2,2,,Caravansery,,Commerce,,,,,,,,,
Original,Stockade,Military,1,Military structures provide the number of shields shown on the card,shield_1,1,1,1,1,2,W,,,Military,1,,,,,,,,
Original,Barracks,Military,1,Military structures provide the number of shields shown on the card,shield_1,1,1,2,2,2,O,,,Military,1,,,,,,,,
Original,Guard Tower,Military,1,Military structures provide the number of shields shown on the card,shield_1,1,2,2,2,2,B,,,Military,1,,,,,,,,
Original,Apothecary,Science,1,Scientific structures provide a science symbol,compass,1,1,2,2,2,C,Stables,Dispensary,Science,,,C,,,,,,
Original,Workshop,Science,1,Scientific structures provide a science symbol,gear,1,1,1,1,2,G,Archery Range,Laboratory,Science,,,G,,,,,,
Original,Scriptorium,Science,1,Scientific structures provide a science symbol,tablet,1,2,2,2,2,P,Courthouse,Library,Science,,,T,,,,,,
Original,Sawmill,RawMaterial,2,Provides 2 wood resources,wood_2,1,2,2,2,2,1,,,Resource,,WW,,,,,,,
Original,Quarry,RawMaterial,2,Provides 2 stone resources,stone_2,1,2,2,2,2,1,,,Resource,,SS,,,,,,,
Original,Brickyard,RawMaterial,2,Provides 2 clay resources,clay_2,1,2,2,2,2,1,,,Resource,,BB,,,,,,,
Original,Foundry,RawMaterial,2,Provides 2 ore resources,ore_2,1,2,2,2,2,1,,,Resource,,OO,,,,,,,
Original,Loom,Goods,2,Provides 1 cloth,cloth,1,1,2,2,2,,,,Resource,,C,,,,,,,
Original,Glassworks,Goods,2,Provides 1 glass,glass,1,1,2,2,2,,,,Resource,,G,,,,,,,
Original,Press,Goods,2,Provides 1 papyrus,papyrus,1,1,2,2,2,,,,Resource,,P,,,,,,,
Original,Aqueduct,Civilian,2,Civilian structures are worth the number of victory points pictured on the card,5VP,1,1,1,1,2,SSS,,,CoinsPoints,,,,None,Constant,0,5,,
Original,Temple,Civilian,2,Civilian structures are worth the number of victory points pictured on the card,3VP,1,1,1,2,2,WBG,Pantheon,,CoinsPoints,,,,None,Constant,0,3,,
Original,Statue,Civilian,2,Civilian structures are worth the number of victory points pictured on the card,4VP,1,1,1,1,2,WOO,Gardens,,CoinsPoints,,,,None,Constant,0,4,,
Original,Courthouse,Civilian,2,Civilian structures are worth the number of victory points pictured on the card,4VP,1,1,2,2,2,BBC,,,CoinsPoints,,,,None,Constant,0,4,,
Original,Forum,Commerce,2,Provides 1 cloth OR 1 glass OR 1 papyrus.  May not be used by neighbors.,forum,1,1,1,2,2,BB,Haven,,Resource,,CGP,,,,,,,
Original,Caravansery,Commerce,2,Provides 1 wood OR 1 stone OR 1 clay OR 1 ore resource.  May not be used by neighbors.,caravansery,1,1,2,3,3,WW,Lighthouse,,Resource,,WSBO,,,,,,,
Original,Vineyard,Commerce,2,1 coin for each brown card in your city plus neighboring cities,vineyard,1,1,1,2,3,,,,CoinsPoints,,,,PlayerAndNeighbors,RawMaterial,1,0,,
Original,Bazar,Commerce,2,2 coins for each grey card in your city plus neighboring cities,bazar,0,1,1,1,2,,,,CoinsPoints,,,,PlayerAndNeighbors,Goods,2,0,,
Original,Walls,Military,2,Military structures provide the number of shields shown on the card,shield_2,1,1,1,1,2,SSS,Fortifications,,Military,2,,,,,,,,
Original,Training Ground,Military,2,Military structures provide the number of shields shown on the card,shield_2,0,1,1,2,3,WOO,Circus,,Military,2,,,,,,,,
Original,Stables,Military,2,Military structures provide the number of shields shown on the card,shield_2,1,1,2,2,2,WBO,,,Military,2,,,,,,,,
Original,Archery Range,Military,2,Military structures provide the number of shields shown on the card,shield_2,1,1,1,2,2,WWO,,,Military,2,,,,,,,,
Original,Dispensary,Science,2,Scientific structures provide a science symbol,compass,1,2,2,2,2,OOG,Arena,Lodge,Science,,,C,,,,,,
Original,Laboratory,Science,2,Scientific structures provide a science symbol,gear,1,1,2,2,2,BBP,Siege Workshop,Observatory,Science,,,G,,,,,,
Original,Library,Science,2,Scientific structures provide a science symbol,tablet,1,1,1,2,2,SSC,Senate,University,Science,,,T,,,,,,
Original,School,Science,2,Scientific structures provide a science symbol,tablet,1,1,1,1,2,WP,Academy,Study,Science,,,T,,,,,,
Original,Pantheon,Civilian,3,Civilian structures are worth the number of victory points pictured on the card,7VP,1,1,1,2,2,BBOCGP,,,CoinsPoints,,,,None,Constant,0,7,,
Original,Gardens,Civilian,3,Civilian structures are worth the number of victory points pictured on the card,5VP,1,2,2,2,2,WBB,,,CoinsPoints,,,,None,Constant,0,5,,
Original,Town Hall,Civilian,3,Civilian structures are worth the number of victory points pictured on the card,6VP,1,1,2,3,3,SSOG,,,CoinsPoints,,,,None,Constant,0,6,,
Original,Palace,Civilian,3,Civilian structures are worth the number of victory points pictured on the card,8VP,1,1,1,1,2,WSBOCGP,,,CoinsPoints,,,,None,Constant,0,8,,
Original,Senate,Civilian,3,Civilian structures are worth the number of victory points pictured on the card,6VP,1,1,2,2,2,WWSO,,,CoinsPoints,,,,None,Constant,0,6,,
Original,Haven,Commerce,3,1 VP + 1 coin for each brown card in your city,haven,1,2,2,2,2,WOC,,,CoinsPoints,,,,Player,RawMaterial,1,1,,
Original,Lighthouse,Commerce,3,1 VP + 1 coin for each yellow card in your city,lighthouse,1,1,1,2,2,SG,,,CoinsPoints,,,,Player,Commerce,1,1,,
Original,Chamber of Commerce,Commerce,3,2 VP + 2 coins for each grey card in your city,chamber_of_commerce,0,1,1,2,2,BBP,,,CoinsPoints,,,,Player,Goods,2,2,,
Original,Arena,Commerce,3,1 VP + 3 coins for each level of wonder in your city,arena,1,1,2,2,3,SSO,,,CoinsPoints,,,,Player,WonderStage,3,1,,
Original,Fortifications,Military,3,Military structures provide the number of shields shown on the card,shield_3,1,1,1,1,2,SOOO,,,Military,3,,,,,,,,
Original,Circus,Military,3,Military structures provide the number of shields shown on the card,shield_3,0,1,2,3,3,SSSO,,,Military,3,,,,,,,,
Original,Arsenal,Military,3,Military structures provide the number of shields shown on the card,shield_3,1,2,2,2,3,WWOC,,,Military,3,,,,,,,,
Original,Siege Workshop,Military,3,Military structures provide the number of shields shown on the card,shield_3,1,1,2,2,2,WBBB,,,Military,3,,,,,,,,
Original,Lodge,Science,3,Scientific structures provide a science symbol,compass,1,1,1,2,2,BBCP,,,Science,,,C,,,,,,
Original,Observatory,Science,3,Scientific structures provide a science symbol,gear,1,1,1,1,2,OOCG,,,Science,,,G,,,,,,
Original,University,Science,3,Scientific structures provide a science symbol,tablet,1,2,2,2,2,WWGP,,,Science,,,T,,,,,,
Original,Academy,Science,3,Scientific structures provide a science symbol,compass,1,1,1,1,2,SSSG,,,Science,,,C,,,,,,
Original,Study,Science,3,Scientific structures provide a science symbol,gear,1,1,2,2,2,WCP,,,Science,,,G,,,,,,
Original,Workers Guild,Guild,3,1 victory point for each brown card present in the neighboring cities,workers_guild,1,1,1,1,1,WSBOO,,,CoinsPoints,,,,Neighbors,RawMaterial,0,1,,
Original,Craftsmens Guild,Guild,3,2 victory points for each grey card present in the neighboring cities,craftsmens_guild,1,1,1,1,1,SSOO,,,CoinsPoints,,,,Neighbors,Goods,0,2,,
Original,Traders Guild,Guild,3,1 victory point for each yellow card present in the neighboring cities,traders_guild,1,1,1,1,1,CGP,,,CoinsPoints,,,,Neighbors,Commerce,0,1,,
Original,Philosophers Guild,Guild,3,1 victory point for each green card present in the neighboring cities,philosophers_guild,1,1,1,1,1,BBBCP,,,CoinsPoints,,,,Neighbors,Science,0,1,,
Original,Spies Guild,Guild,3,1 victory point for each red card present in the neighboring cities,spies_guild,1,1,1,1,1,BBBG,,,CoinsPoints,,,,Neighbors,Military,0,1,,
Original,Strategists Guild,Guild,3,1 victory point for each defeat token present in the neighboring cities.,strategists_guild,1,1,1,1,1,SOOC,,,CoinsPoints,,,,Neighbors,MilitaryLosses,0,1,,
Original,Shipowners Guild,Guild,3,1 victory point for each RawMaterial AND Goods AND Guild structure in your city.,shipowners_guild,1,1,1,1,1,WWWGP,,,,,,,,,,,,
Original,Scientists Guild,Guild,3,Provides a science symbol of your choice at the end of the game.,scientists_guild,1,1,1,1,1,WWOOP,,,ScienceWild,,,,,,,,,
Original,Magistrates Guild,Guild,3,1 victory point for each blue card present in the neighboring cities.,magistrates_guild,1,1,1,1,1,WWWSC,,,CoinsPoints,,,,Neighbors,Civilian,0,1,,
Original,Builders Guild,Guild,3,1 victory point for each Wonder stage built in the neighboring cities AND in your city.,builders_guild,1,1,1,1,1,SSBBG,,,CoinsPoints,,,,PlayerAndNeighbors,WonderStage,0,1,,
Original,Alexandria (A),WonderStage,,,,,,,,,SS,,,CoinsPoints,,,,None,Constant,0,3,1,
Original,Alexandria (A),WonderStage,,,,,,,,,OO,,,Resource,,WSBO,,,,,,2,
Original,Alexandria (A),WonderStage,,,,,,,,,GG,,,CoinsPoints,,,,None,Constant,0,7,3,
Original,Alexandria (B),WonderStage,,,,,,,,,BB,,,Resource,,WSBO,,,,,,1,
Original,Alexandria (B),WonderStage,,,,,,,,,WW,,,Resource,,CGP,,,,,,2,
Original,Alexandria (B),WonderStage,,,,,,,,,SSS,,,CoinsPoints,,,,None,Constant,0,7,3,
Original,Babylon (A),WonderStage,,,,,,,,,BB,,,CoinsPoints,,,,None,Constant,0,3,1,
Original,Babylon (A),WonderStage,,,,,,,,,WWW,,,ScienceWild,,,,,,,,2,
Original,Babylon (A),WonderStage,,,,,,,,,BBBB,,,CoinsPoints,,,,None,Constant,0,7,3,
Original,Babylon (B),WonderStage,,,,,,,,,BC,,,CoinsPoints,,,,None,Constant,0,3,1,
Original,Babylon (B),WonderStage,,,,,,,,,WWG,,,,,,,,,,,2,
Original,Babylon (B),WonderStage,,,,,,,,,BBBP,,,ScienceWild,,,,,,,,3,
Original,Ephesos (A),WonderStage,,,,,,,,,SS,,,CoinsPoints,,,,None,Constant,0,3,1,
Original,Ephesos (A),WonderStage,,,,,,,,,WW,,,CoinsPoints,,,,None,Constant,9,0,2,
Original,Ephesos (A),WonderStage,,,,,,,,,PP,,,CoinsPoints,,,,None,Constant,0,7,3,
Original,Ephesos (B),WonderStage,,,,,,,,,SS,,,CoinsPoints,,,,None,Constant,4,2,1,
Original,Ephesos (B),WonderStage,,,,,,,,,WW,,,CoinsPoints,,,,None,Constant,4,3,2,
Original,Ephesos (B),WonderStage,,,,,,,,,CGP,,,CoinsPoints,,,,None,Constant,4,5,3,
Original,Giza (A),WonderStage,,,,,,,,,SS,,,CoinsPoints,,,,None,Constant,0,3,1,
Original,Giza (A),WonderStage,,,,,,,,,WWW,,,CoinsPoints,,,,None,Constant,0,5,2,
Original,Giza (A),WonderStage,,,,,,,,,SSSS,,,CoinsPoints,,,,None,Constant,0,7,3,
Original,Giza (B),WonderStage,,,,,,,,,WW,,,CoinsPoints,,,,None,Constant,0,3,1,
Original,Giza (B),WonderStage,,,,,,,,,SSS,,,CoinsPoints,,,,None,Constant,0,5,2,
Original,Giza (B),WonderStage,,,,,,,,,BBB,,,CoinsPoints,,,,None,Constant,0,5,3,
Original,Giza (B),WonderStage,,,,,,,,,SSSSP,,,CoinsPoints,,,,None,Constant,0,7,4,
Original,Halikarnassos (A),WonderStage,,,,,,,,,BB,,,CoinsPoints,,,,None,Constant,0,3,1,
Original,Halikarnassos (A),WonderStage,,,,,,,,,OOO,,,,,,,,,,,2,
Original,Halikarnassos (A),WonderStage,,,,,,,,,CC,,,CoinsPoints,,,,None,Constant,0,7,3,
Original,Halikarnassos (B),WonderStage,,,,,,,,,OO,,,,,,,,,,,1,
Original,Halikarnassos (B),WonderStage,,,,,,,,,BBB,,,,,,,,,,,2,
Original,Halikarnassos (B),WonderStage,,,,,,,,,CGP,,,,,,,,,,,3,
Original,Olympia (A),WonderStage,,,,,,,,,WW,,,CoinsPoints,,,,None,Constant,0,3,1,
Original,Olympia (A),WonderStage,,,,,,,,,SS,,,PlayACardForFreeOncePerAge,,,,,,,,2,
Original,Olympia (A),WonderStage,,,,,,,,,OO,,,CoinsPoints,,,,None,Constant,0,7,3,
Original,Olympia (B),WonderStage,,,,,,,,,WW,,,Commerce,,,,,,,,1,
Original,Olympia (B),WonderStage,,,,,,,,,SS,,,CoinsPoints,,,,None,Constant,0,5,2,
Original,Olympia (B),WonderStage,,,,,,,,,OOC,,,,,,,,,,,3,
Original,Rhodos (A),WonderStage,,,,,,,,,WW,,,CoinsPoints,,,,None,Constant,0,3,1,
Original,Rhodos (A),WonderStage,,,,,,,,,BBB,,,Military,2,,,,,,,2,
Original,Rhodos (A),WonderStage,,,,,,,,,OOOO,,,CoinsPoints,,,,None,Constant,0,7,3,
Original,Rhodos (B),WonderStage,,,,,,,,,SSS,,,,,,,,,,,1,
Original,Rhodos (B),WonderStage,,,,,,,,,OOOO,,,,,,,,,,,2,
Leaders,Roma (A),WonderStage,,,,,,,,,WBO,,,CoinsPoints,,,,None,Constant,,4,1,
Leaders,Roma (A),WonderStage,,,,,,,,,SSBC,,,CoinsPoints,,,,None,Constant,,6,2,
Leaders,Roma (B),WonderStage,,,,,,,,,WB,,,,,,,,,,,1,
Leaders,Roma (B),WonderStage,,,,,,,,,SBC,,,,,,,,,,,2,
Leaders,Roma (B),WonderStage,,,,,,,,,SSP,,,,,,,,,,,3,
Cities,Petra (A),WonderStage,,,,,,,,,WS,,,CoinsPoints,,,,None,Constant,0,3,1,
Cities,Petra (A),WonderStage,,,,,,,,,7,,,CoinsPoints,,,,None,Constant,0,7,2,
Cities,Petra (A),WonderStage,,,,,,,,,WSSP,,,CoinsPoints,,,,None,Constant,0,7,3,
Cities,Petra (B),WonderStage,,,,,,,,,BBOO,,,LossOfCoins,,,,,Constant,2,3,1,
Cities,Petra (B),WonderStage,,,,,,,,,14,,,CoinsPoints,,,,None,Constant,0,14,2,
Cities,Byzantium (A),WonderStage,,,,,,,,,BO,,,CoinsPoints,,,,None,Constant,0,3,1,
Cities,Byzantium (A),WonderStage,,,,,,,,,WWP,,,Diplomacy,,,,,,,2,2,
Cities,Byzantium (A),WonderStage,,,,,,,,,BBCG,,,CoinsPoints,,,,None,Constant,0,7,3,
Cities,Byzantium (B),WonderStage,,,,,,,,,WOGP,,,Diplomacy,,,,,,,3,1,
Cities,Byzantium (B),WonderStage,,,,,,,,,BOOC,,,Diplomacy,,,,,,,4,2,
Leaders,Alexander,Leader,0,Adds 1 VP to each Victory Conflict token.,Alexander,1,1,1,1,1,3,,,CoinsPoints,,,,Player,ConflictToken,,1,,
Leaders,Amytis,Leader,0,Worth 2 victory points (VP) for each Wonder stage built by the player.,Amytis,1,1,1,1,1,4,,,CoinsPoints,,,,Player,WonderStage,,2,,
Leaders,Archimedes,Leader,0,Archimedes allows the player to build green Structures for one resource less than their written cost (for future cards).,Archimedes,1,1,1,1,1,4,,,StructureDiscount,,,,,,,,,Science
Leaders,Aristotle,Leader,0,Aristotle adds 3 VP to each set of different scientific symbols (meaning that the bonus goes from 7 VP to 10 VP per set). ,Aristotle,1,1,1,1,1,3,,,,,,,,,,,,
Leaders,Bilkis,Leader,0,Bilkis allows the player to purchase any resource by paying 1 coin to the bank once per turn (for future commerce.),Bilkis,1,1,1,1,1,4,,,,,,,,,,,,
Leaders,Caesar,Leader,0,Caesar grants 2 shields.,shield_2,1,1,1,1,1,5,,,Military,2,,,,,,,,
Leaders,Cleopatra,Leader,0,Cleopatra is worth  5 victory points at the end of the game.,Cleopatra,1,1,1,1,1,4,,,CoinsPoints,,,,None,Constant,,5,,
Leaders,Croesus,Leader,0,The player takes 6 coins from the bank.,Croeseus,1,1,1,1,1,1,,,CoinsPoints,,,,None,Constant,6,,,
Leaders,Euclid,Leader,0,He grants the compass scientific symbol. This symbol is added to those of scientific structures (green cards) in the player's city.,compass,1,1,1,1,1,5,,,Science,,,C,,,,,,
Leaders,Hammurabi,Leader,0,Hammruabi allows the player to build blue Structures for one resource less than their written cost (for future cards).,Hammurabi,1,1,1,1,1,2,,,StructureDiscount,,,,,,,,,Civilian
Leaders,Hannibal,Leader,0,Hannibal grants 1 shield.,shield_1,1,1,1,1,1,2,,,Military,1,,,,,,,,
Leaders,Hatshepsut,Leader,0,Each purchase of one or more resources from  a neighbor grants 1 coin from the bank. Note that this gain is limited to 1 coin per neighbor per turn.,Hatshepsut,1,1,1,1,1,2,,,,,,,,,,,,
Leaders,Hiram,Leader,0,Hiram gives is worth 2 victory points per purple card present  in the player's city.,Hiram,1,1,1,1,1,3,,,CoinsPoints,,,,Player,Guild,,2,,
Leaders,Hypatia,Leader,0,Hypatia is worth 1 victory point per green card present  in the player's city at the end of the game.,Hypatia,1,1,1,1,1,4,,,CoinsPoints,,,,Player,Science,,1,,
Leaders,Imhotep,Leader,0,Future wonder stages can be built for for one resource less than their written cost.,Imhotep,1,1,1,1,1,3,,,StructureDiscount,,,,,,,,,WonderStage
Leaders,Justinian,Leader,0,Justinian is worth 3 victory points for each set of  3 Age cards (Military + Scientific + Civilian) in the player's city. ,Justinian,1,1,1,1,1,3,,,,,,,,,,,,
Leaders,Leonidas,Leader,0,Leonidas allows the player to build red Structures for one resource less than their written cost (for future cards).,Leonidas,1,1,1,1,1,2,,,StructureDiscount,,,,,,,,,Military
Leaders,Maecenas,Leader,0,The controlling player can recruit all of his or her  future Leaders for free during the Recruitment Phase.,Maecenas,1,1,1,1,1,1,,,FreeLeaders,,,,,,,,,
Leaders,Midas,Leader,0,Midas is worth 1 victory point per every 3 coins  in the player's treasury at the end of the game.,Midas,1,1,1,1,1,3,,,CoinsPoints,,,,Player,ThreeCoins,,1,,
Leaders,Nebuchadnezzar,Leader,0,Nebuchadnezzar is worth 1 victory point per blue card present in the player's city.,Nebuchadnezzar,1,1,1,1,1,4,,,CoinsPoints,,,,Player,Civilian,,1,,
Leaders,Nefertiti,Leader,0,Nefertiti is worth 4 victory points at the end of the game.,Nefertiti,1,1,1,1,1,3,,,CoinsPoints,,,,None,Constant,,4,,
Leaders,Nero,Leader,0,Nero grants 2 coins for each Victory token earned by the player from this point forward. These coins are taken from the bank when the Victory tokens are gained.,Nero,1,1,1,1,1,1,,,,,,,,,,,,
Leaders,Pericles,Leader,0,Pericles is worth 2 victory points per red card present in the player's city at the end of the game.,Pericles,1,1,1,1,1,6,,,CoinsPoints,,,,Player,Military,,2,,
Leaders,Phidias,Leader,0,Phidias is worth 1 victory point per brown card present in the player's city at the end of the game.,Phidias,1,1,1,1,1,3,,,CoinsPoints,,,,Player,RawMaterial,,1,,
Leaders,Plato,Leader,0,Plato is worth 7 victory points for each set of 7 Age cards (Raw Material + Manufactured Goods + Civilian + Commercial + Science + Military + Guild) in the player's city. ,Plato,1,1,1,1,1,4,,,,,,,,,,,,
Leaders,Praxiteles,Leader,0,Praxiteles is worth 2 victory points per grey card present  in the player's city at the end of the game.,Praxiteles,1,1,1,1,1,3,,,CoinsPoints,,,,Player,Goods,,2,,
Leaders,Ptolemy,Leader,0,He grants the tablet scientific symbol. This symbol is added to those of scientific structures (green cards) in the player's city.,tablet,1,1,1,1,1,5,,,Science,,,T,,,,,,
Leaders,Pythagoras,Leader,0,He grants the gear scientific symbol. This symbol is added to those of scientific structures (green cards) in the player's city.,gear,1,1,1,1,1,5,,,Science,,,G,,,,,,
Leaders,Ramses,Leader,0,The player can build all of his/her Guilds for free.,Ramses,1,1,1,1,1,5,,,,,,,,,,,,
Leaders,Sappho,Leader,0,Sappho is worth 2 victory points at the end of the game.,Sappho,1,1,1,1,1,1,,,CoinsPoints,,,,None,Constant,,2,,
Leaders,Solomon,Leader,0,The player can choose an Age card from the discard pile and put it in play for free.,Solomon,1,1,1,1,1,3,,,,,,,,,,,,
Leaders,Tomyris,Leader,0,The Conflict Loss tokens of this player are given to the victorious neighboring city (for future conflicts).,Tomyris,1,1,1,1,1,4,,,,,,,,,,,,
Leaders,Varro,Leader,0,Varro is worth 1 victory point per yellow card present in the player's city at the end of the game.,Varro,1,1,1,1,1,3,,,CoinsPoints,,,,Player,Commerce,,1,,
Leaders,Vitruvius,Leader,0,Vitruvius grants 2 coins whenever the player builds  a structure through building chains. The coins are taken from the bank when the structures are built.,Vitruvius,1,1,1,1,1,1,,,,,,,,,,,,
Leaders,Xenophon,Leader,0,Xenophon grants 2 coins for each yellow structure that the player builds from this point forward.  The coins are taken from the bank when the structures are built. ,Xenophon,1,1,1,1,1,2,,,,,,,,,,,,
Leaders,Zenobia,Leader,0,Zenobia is worth 3 victory points at the end of the game.,Zenobia,1,1,1,1,1,2,,,CoinsPoints,,,,None,Constant,,3,,
Leaders,Gamers Guild,Guild,3,1 victory point for each complete set of 3 coins present in the player's treasury,gamers_guild,1,1,1,1,1,WSBO,,,CoinsPoints,,,,Player,ThreeCoins,,1,,
Leaders,Courtesans Guild,Guild,3,Allows the player to copy the effect of a leader from a neighboring city.  The copied leader is chosen the Courtesan Guild card is played.,courtesans_guild,1,1,1,1,1,WBCG,,,,,,,,,,,,
Leaders,Diplomats Guild,Guild,3,1 victory point for each Leader (white card) present in  the neighboring cities.,diplomats_guild,1,1,1,1,1,WSGP,,,CoinsPoints,,,,Neighbors,Leader,,1,,
Leaders,Architects Guild,Guild,3,3 victory points for each purple card present in the neighboring cities.,architects_guild,1,1,1,1,1,BOOOCP,,,CoinsPoints,,,,Neighbors,Guild,,3,,
Cities,Pigeon Loft,City,1,This card allows the controlling player to copy the scientific symbol of a green card present in one of the two neighboring cities at the end of the game.,Mask,1,1,1,1,1,1O,,,CopyScienceSymbolFromNeighbor,,,,,,,,,
Cities,Militia,City,1,Adds two shields to your city's military strength.,Militia,1,1,1,1,1,3,,,Military,2,,,,,,,,
Cities,Hideout,City,1,This card earns 2 victory points and causes every other player to pay 1 coin to the bank at the end of the turn in which the card is played.,Hideout,1,1,1,1,1,,,,LossOfCoins,,,,None,Constant,1,2,,
Cities,Residence,City,1,This card gives 1 Victory Point at the end of the game and grants a Diplomacy token to the player.,Residence,1,1,1,1,1,B,,,Diplomacy,,,,,,,1,,
Cities,Gambling Den,City,1,The player takes 6 coins from the bank. The players neighbors each take 1 coin from the bank.,Gambling_Den,1,1,1,1,1,,,,,,,,,,,,,
Cities,Clandestine Dock West,City,1,The player has a commercial rebate of one coin on the first resource (brown or gray) they buy from the neighbor on the left. This rebate is cumulative with that of a Marketplace or a Trading Post: the first resource can thus be bought for free.  This effect can only be used once per turn.,Clandestine_Dock_West,1,1,1,1,1,1,,,Commerce,,,,,,,,,
Cities,Clandestine Dock East,City,1,The player has a commercial rebate of one coin on the first resource (brown or gray) they buy from the neighbor on the right. This rebate is cumulative with that of a Marketplace or a Trading Post: the first resource can thus be bought for free.  This effect can only be used once per turn.,Clandestine_Dock_East,1,1,1,1,1,1,,,Commerce,,,,,,,,,
Cities,Secret Warehouse,City,1,The card produces a resource of the player's choice from among those that their city already produces through its brown and gray cards or the initial resource of their board.  This effect can only be used once per turn.,Secret_Warehouse,1,1,1,1,1,2,,,,,,,,,,,,
Cities,Gates of the City,City,1,This card is worth 4 victory points at the end of the game.,Gates_of_the_City,1,1,1,1,1,1W,,,CoinsPoints,,,,None,Constant,,4,,
Cities,Spy Ring,City,2,This card allows the controlling player to copy the scientific symbol of a green card present in one of the two neighboring cities at the end of the game.,Mask,1,1,1,1,1,2SB,,,CopyScienceSymbolFromNeighbor,,,,,,,,,
Cities,Mercenaries,City,2,Adds three shields to your city's military strength.,Mercenaries,1,1,1,1,1,4P,,,Military,3,,,,,,,,
Cities,Lair,City,2,This card earns 3 victory points and causes every other player to pay 2 coins to the bank at the end of the turn in which the card is played.,Lair,1,1,1,1,1,WG,,,LossOfCoins,,,,,Constant,2,3,,
Cities,Consulate,City,2,This card gives 2 Victory Points at the end of the game and grants a Diplomacy token to the player.,Consulate,1,1,1,1,1,BP,,,Diplomacy,,,,,,,2,,
Cities,Gambling House,City,2,The player takes 9 coins from the bank. The player's neighbors each take 2 coins from the bank.,Gambling_House,1,1,1,1,1,1,,,,,,,,,,,,
Cities,Black Market,City,2,The card produces one resource of the player's choice from among those that their city doesn't produce through the use of its brown and gray cards or the initial resource of their board.  This effect can only be used once per turn.,Black_Market,1,1,1,1,1,OC,,,,,,,,,,,,
